article_id,outlet,entity_type,sentence_resolved,description_phrase,extraction_method,token_span
CNN_0001,CNN,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives family member was among the victims.",LIVE UPDATES,pos,0-12
CNN_0001,CNN,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives family member was among the victims.",grim task,pos,84-93
CNN_0001,CNN,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives family member was among the victims.",Relatives family member,pos,157-180
CNN_0001,CNN,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives family member was among the victims.",the victims,pos,191-202
CNN_0002,CNN,victim,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.",killing students,dep,128-147
CNN_0002,CNN,victim,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.",14 students,pos,136-147
CNN_0002,CNN,victim,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.",one teacher,pos,152-163
CNN_0002,CNN,victim,"The alleged shooter, who also died, is believed to have shot an 18-year-old man grandmother before going to the school, three law enforcement sources told CNN.",is believed,dep,36-47
CNN_0002,CNN,victim,"an 18-year-old man shot and killed, horrifically, incomprehensively, 14 students and killed a teacher,"" Uvalde Consolidated Independent School District police Chief Pete Arredondo said.",killed teacher,dep,85-101
CNN_0002,CNN,victim,"an 18-year-old man shot and killed, horrifically, incomprehensively, 14 students and killed a teacher,"" Uvalde Consolidated Independent School District police Chief Pete Arredondo said.",14 students,dep,69-80
CNN_0003,CNN,victim,Yeezy Gap has postponed the launch of Yeezy Gap Balenciaga collection following the deadly shooting at a Texas elementary school.,the deadly shooting,pos,80-99
CNN_0003,CNN,victim,"An 18-year-old gunman on Tuesday fatally shot 19 children and two adults at an elementary school in Uvalde, Texas, before An 18-year-old gunman was killed by law enforcement officers, officials said.",fatally shot children,dep,33-57
